protein,ligand,short_name,category,DG,distance,is_productive
A8,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.23,4.347,False
A8,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.53,7.252,False
A8,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.52,6.89,False
A8,4_malonaldehyde,malonaldehyde,Short-chain,-5.99,4.389,False
A8,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-7.69,14.365,False
A8,52_Triose phosphate,Triose phosphate,Other,-6.07,5.858,False
A8,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-6.65,16.654,False
A8,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-7.22,4.168,False
A8,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-8.42,6.12,False
A8,5_butyraldehyde,butyraldehyde,Short-chain,-6.24,2.208,True
A8,60_S-Formylglutathione,S-formyl-GSH,Other,-7.44,5.307,False
A8,6_amylaldehyde,amylaldehyde,Short-chain,-6.47,2.558,True
A8,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.48,7.02,False
A8,8_hexanal,hexanal,Medium-chain,-6.77,2.313,True
A8,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-6.03,1.99,True
A9,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-5.98,2.303,True
A9,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-5.93,2.023,True
A9,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-5.91,2.506,True
A9,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.14,3.093,True
A9,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.63,2.699,True
A9,15_heptanal,heptanal,Medium-chain,-6.91,2.337,True
A9,16_octanaldehyde,octanaldehyde,Medium-chain,-7.13,2.197,True
A9,17_nonanal,nonanal,Medium-chain,-7.4,2.338,True
A9,18_decanal,decanal,Medium-chain,-7.64,1.598,True
A9,19_dodecanal,dodecanal,Medium-chain,-8.06,2.521,True
A9,20_Citral,Citral,"α,β-Unsaturated",-7.65,2.256,True
A9,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.11,1.257,True
A9,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-7.16,1.74,True
A9,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.37,2.964,True
A9,24_Tetradecanal,Tetradecanal,Medium-chain,-8.35,1.71,True
A9,25_hexadecanal,hexadecanal,Medium-chain,-8.6,1.438,True
A9,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.44,1.614,True
A9,27_Benzaldehyde,benzald.,Aromatic,-6.89,2.418,True
A9,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-7.16,2.152,True
A9,29_Salicylaldehyde,salicylald.,Aromatic,-6.88,2.294,True
A9,2_acetaldehyde,acetaldehyde,Short-chain,-5.68,2.633,True
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.44,2.763,True
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-9.35,1.835,True
A9,32_9-cis-Retinal,9-cis-retinal,Retinoid,-9.37,5.125,False
A9,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.35,2.733,True
A9,35_Cinnamaldehyde,cinnamald.,Aromatic,-7.42,2.011,True
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.32,2.101,True
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.69,2.924,True
A9,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.63,2.023,True
A9,3_propylaldehyde,propylaldehyde,Short-chain,-5.93,2.375,True
A9,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.97,1.963,True
A9,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.59,2.776,True
A9,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.34,4.303,False
A9,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-6.25,2.941,True
A9,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.43,6.194,False
A9,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.66,7.153,False
A9,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.21,3.974,True
A9,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.17,3.086,True
A9,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.55,6.962,False
A9,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.46,7.803,False
A9,4_malonaldehyde,malonaldehyde,Short-chain,-5.9,3.818,True
A9,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-8.05,15.536,False
A9,52_Triose phosphate,Triose phosphate,Other,-6.11,5.304,False
A9,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-6.82,7.112,False
A9,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-8.19,6.001,False
A9,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-8.21,6.521,False
A9,5_butyraldehyde,butyraldehyde,Short-chain,-6.2,2.17,True
A9,60_S-Formylglutathione,S-formyl-GSH,Other,-7.58,4.076,False
A9,6_amylaldehyde,amylaldehyde,Short-chain,-6.4,2.554,True
A9,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.4,1.781,True
A9,8_hexanal,hexanal,Medium-chain,-6.65,2.442,True
A9,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-5.94,2.403,True
