protein,ligand,short_name,category,DG,distance,is_productive
A11,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-6.78,2.266,True
A11,29_Salicylaldehyde,salicylald.,Aromatic,-6.69,2.207,True
A11,2_acetaldehyde,acetaldehyde,Short-chain,-5.65,2.21,True
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.02,8.187,False
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-8.72,3.488,True
A11,32_9-cis-Retinal,9-cis-retinal,Retinoid,-8.24,1.863,True
A11,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.06,2.77,True
A11,35_Cinnamaldehyde,cinnamald.,Aromatic,-6.99,2.57,True
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-7.51,1.591,True
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.66,3.602,True
A11,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.48,2.212,True
A11,3_propylaldehyde,propylaldehyde,Short-chain,-5.84,2.102,True
A11,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.67,11.223,False
A11,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.21,2.22,True
A11,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.12,6.251,False
A11,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-5.99,1.815,True
A11,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.4,3.256,True
A11,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.66,3.276,True
A11,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.13,3.365,True
A11,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.12,2.592,True
A11,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.42,7.442,False
A11,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.21,6.893,False
A11,4_malonaldehyde,malonaldehyde,Short-chain,-5.89,2.931,True
A11,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-8.19,14.839,False
A11,52_Triose phosphate,Triose phosphate,Other,-6.1,4.606,False
A11,53_Pyridoxal phosphate,Pyridoxal phosphate,Other,-6.91,12.414,False
A11,57_S-3-oxopropylglutathione,S-3-oxopropyl-GSH,Other,-7.82,9.74,False
A11,58_S-(4-oxobutan-2-yl)glutathione,S-4-oxobutyl-GSH,Other,-8.21,5.484,False
