category,rho,p,n
Short-chain,0.5568744931104886,3.2451376657777394e-05,49
Medium-chain,0.5244040058736278,1.0268876821984706e-05,63
"α,β-Unsaturated",0.68361596762363,6.950604220794278e-11,70
Aromatic,0.07017566966716783,0.5442058000655581,77
Retinoid,0.34426763751404876,0.12646679726464446,21
Semialdehyde,-0.0021735475664937717,0.9865111744810702,63
Other,0.6067022487585693,2.5903882138766384e-08,70
