category,DG
Medium-chain,-8.77
"α,β-Unsaturated",-8.78
Aromatic,-6.95
Aromatic,-7.2
Aromatic,-7.0
Short-chain,-5.73
Aromatic,-7.54
Retinoid,-9.62
Retinoid,-9.43
"α,β-Unsaturated",-7.44
Aromatic,-7.51
Aromatic,-8.58
Aromatic,-6.64
Aromatic,-6.69
Short-chain,-6.0
Aromatic,-7.95
Aromatic,-7.78
Semialdehyde,-6.26
Semialdehyde,-6.08
Semialdehyde,-6.51
Semialdehyde,-6.75
Semialdehyde,-6.2
Semialdehyde,-6.23
Semialdehyde,-6.53
Semialdehyde,-6.52
Short-chain,-5.99
Short-chain,-6.24
Short-chain,-6.47
Medium-chain,-6.48
Medium-chain,-6.77
Short-chain,-6.03
Semialdehyde,-5.98
"α,β-Unsaturated",-5.93
"α,β-Unsaturated",-5.91
"α,β-Unsaturated",-6.14
"α,β-Unsaturated",-6.63
Medium-chain,-6.91
Medium-chain,-7.13
Medium-chain,-7.4
Medium-chain,-7.64
Medium-chain,-8.06
"α,β-Unsaturated",-7.65
"α,β-Unsaturated",-7.11
"α,β-Unsaturated",-7.16
"α,β-Unsaturated",-7.37
Medium-chain,-8.35
Medium-chain,-8.6
"α,β-Unsaturated",-8.44
Aromatic,-6.89
Aromatic,-7.16
Aromatic,-6.88
Short-chain,-5.68
Aromatic,-7.44
Retinoid,-9.35
Retinoid,-9.37
"α,β-Unsaturated",-7.35
Aromatic,-7.42
Aromatic,-8.32
Aromatic,-6.69
Aromatic,-6.63
Short-chain,-5.93
Aromatic,-7.97
Aromatic,-7.59
Semialdehyde,-6.34
Semialdehyde,-6.25
Semialdehyde,-6.43
Semialdehyde,-6.66
Semialdehyde,-6.21
Semialdehyde,-6.17
Semialdehyde,-6.55
Semialdehyde,-6.46
Short-chain,-5.9
Short-chain,-6.2
Short-chain,-6.4
Medium-chain,-6.4
Medium-chain,-6.65
Short-chain,-5.94
