pose,DG
Non-productive (> 4 Å),-7.46
Non-productive (> 4 Å),-9.67
Productive (≤ 4 Å),-9.66
Non-productive (> 4 Å),-7.4
Non-productive (> 4 Å),-7.38
Non-productive (> 4 Å),-8.26
Productive (≤ 4 Å),-6.59
Productive (≤ 4 Å),-6.72
Non-productive (> 4 Å),-5.96
Non-productive (> 4 Å),-7.88
Productive (≤ 4 Å),-7.49
Productive (≤ 4 Å),-6.24
Non-productive (> 4 Å),-6.21
Productive (≤ 4 Å),-6.46
Non-productive (> 4 Å),-6.64
Productive (≤ 4 Å),-6.2
Non-productive (> 4 Å),-6.25
Productive (≤ 4 Å),-6.54
Productive (≤ 4 Å),-6.31
Productive (≤ 4 Å),-5.96
Non-productive (> 4 Å),-7.29
Non-productive (> 4 Å),-6.12
Non-productive (> 4 Å),-6.96
Productive (≤ 4 Å),-7.78
Non-productive (> 4 Å),-7.76
Productive (≤ 4 Å),-6.28
Productive (≤ 4 Å),-7.09
Non-productive (> 4 Å),-6.49
Non-productive (> 4 Å),-6.46
Non-productive (> 4 Å),-6.75
Productive (≤ 4 Å),-6.02
Productive (≤ 4 Å),-6.1
Productive (≤ 4 Å),-6.09
Productive (≤ 4 Å),-6.06
Productive (≤ 4 Å),-6.33
Non-productive (> 4 Å),-6.56
Productive (≤ 4 Å),-7.03
Productive (≤ 4 Å),-7.44
Non-productive (> 4 Å),-7.07
Productive (≤ 4 Å),-7.5
Non-productive (> 4 Å),-7.69
Productive (≤ 4 Å),-8.04
Non-productive (> 4 Å),-7.46
Productive (≤ 4 Å),-7.09
Non-productive (> 4 Å),-7.06
Non-productive (> 4 Å),-7.88
Non-productive (> 4 Å),-8.47
Non-productive (> 4 Å),-8.55
Non-productive (> 4 Å),-5.89
Productive (≤ 4 Å),-7.33
Non-productive (> 4 Å),-7.18
Non-productive (> 4 Å),-5.63
Non-productive (> 4 Å),-7.64
Non-productive (> 4 Å),-9.33
Non-productive (> 4 Å),-8.82
Productive (≤ 4 Å),-7.28
Non-productive (> 4 Å),-7.04
Non-productive (> 4 Å),-8.04
Productive (≤ 4 Å),-6.68
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-6.07
Non-productive (> 4 Å),-7.69
Non-productive (> 4 Å),-7.13
Non-productive (> 4 Å),-6.07
Non-productive (> 4 Å),-6.19
Non-productive (> 4 Å),-6.39
Non-productive (> 4 Å),-6.64
Non-productive (> 4 Å),-6.16
Productive (≤ 4 Å),-6.3
Non-productive (> 4 Å),-6.3
Productive (≤ 4 Å),-6.59
Productive (≤ 4 Å),-6.09
Non-productive (> 4 Å),-7.29
Non-productive (> 4 Å),-6.31
Non-productive (> 4 Å),-6.89
Productive (≤ 4 Å),-7.57
Non-productive (> 4 Å),-7.5
Productive (≤ 4 Å),-6.39
Non-productive (> 4 Å),-7.08
Productive (≤ 4 Å),-6.63
Non-productive (> 4 Å),-6.36
Productive (≤ 4 Å),-6.6
Productive (≤ 4 Å),-6.04
Productive (≤ 4 Å),-5.92
Productive (≤ 4 Å),-6.0
Productive (≤ 4 Å),-5.99
Productive (≤ 4 Å),-6.27
Productive (≤ 4 Å),-6.79
Productive (≤ 4 Å),-6.98
Productive (≤ 4 Å),-7.2
Productive (≤ 4 Å),-7.5
Productive (≤ 4 Å),-7.74
Productive (≤ 4 Å),-8.27
Productive (≤ 4 Å),-7.77
Productive (≤ 4 Å),-7.23
Productive (≤ 4 Å),-7.23
Productive (≤ 4 Å),-7.49
Productive (≤ 4 Å),-8.27
Productive (≤ 4 Å),-8.77
Productive (≤ 4 Å),-8.78
Productive (≤ 4 Å),-6.95
Productive (≤ 4 Å),-7.2
Productive (≤ 4 Å),-7.0
Productive (≤ 4 Å),-5.73
Non-productive (> 4 Å),-7.54
Productive (≤ 4 Å),-9.62
Productive (≤ 4 Å),-9.43
Productive (≤ 4 Å),-7.44
Productive (≤ 4 Å),-7.51
Productive (≤ 4 Å),-8.58
Productive (≤ 4 Å),-6.64
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-6.0
Productive (≤ 4 Å),-7.95
Productive (≤ 4 Å),-7.78
Non-productive (> 4 Å),-6.26
Productive (≤ 4 Å),-6.08
Non-productive (> 4 Å),-6.51
Non-productive (> 4 Å),-6.75
Non-productive (> 4 Å),-6.2
Non-productive (> 4 Å),-6.23
Non-productive (> 4 Å),-6.53
Non-productive (> 4 Å),-6.52
Non-productive (> 4 Å),-5.99
Non-productive (> 4 Å),-7.69
Non-productive (> 4 Å),-6.07
Non-productive (> 4 Å),-6.65
Non-productive (> 4 Å),-7.22
Non-productive (> 4 Å),-8.42
Productive (≤ 4 Å),-6.24
Non-productive (> 4 Å),-7.44
Productive (≤ 4 Å),-6.47
Non-productive (> 4 Å),-6.48
Productive (≤ 4 Å),-6.77
Productive (≤ 4 Å),-6.03
Productive (≤ 4 Å),-5.98
Productive (≤ 4 Å),-5.93
Productive (≤ 4 Å),-5.91
Productive (≤ 4 Å),-6.14
Productive (≤ 4 Å),-6.63
Productive (≤ 4 Å),-6.91
Productive (≤ 4 Å),-7.13
Productive (≤ 4 Å),-7.4
Productive (≤ 4 Å),-7.64
Productive (≤ 4 Å),-8.06
Productive (≤ 4 Å),-7.65
Productive (≤ 4 Å),-7.11
Productive (≤ 4 Å),-7.16
Productive (≤ 4 Å),-7.37
Productive (≤ 4 Å),-8.35
Productive (≤ 4 Å),-8.6
Productive (≤ 4 Å),-8.44
Productive (≤ 4 Å),-6.89
Productive (≤ 4 Å),-7.16
Productive (≤ 4 Å),-6.88
Productive (≤ 4 Å),-5.68
Productive (≤ 4 Å),-7.44
Productive (≤ 4 Å),-9.35
Non-productive (> 4 Å),-9.37
Productive (≤ 4 Å),-7.35
Productive (≤ 4 Å),-7.42
Productive (≤ 4 Å),-8.32
Productive (≤ 4 Å),-6.69
Productive (≤ 4 Å),-6.63
Productive (≤ 4 Å),-5.93
Productive (≤ 4 Å),-7.97
Productive (≤ 4 Å),-7.59
Non-productive (> 4 Å),-6.34
Productive (≤ 4 Å),-6.25
Non-productive (> 4 Å),-6.43
Non-productive (> 4 Å),-6.66
Productive (≤ 4 Å),-6.21
Productive (≤ 4 Å),-6.17
Non-productive (> 4 Å),-6.55
Non-productive (> 4 Å),-6.46
Productive (≤ 4 Å),-5.9
Non-productive (> 4 Å),-8.05
Non-productive (> 4 Å),-6.11
Non-productive (> 4 Å),-6.82
Non-productive (> 4 Å),-8.19
Non-productive (> 4 Å),-8.21
Productive (≤ 4 Å),-6.2
Non-productive (> 4 Å),-7.58
Productive (≤ 4 Å),-6.4
Productive (≤ 4 Å),-6.4
Productive (≤ 4 Å),-6.65
Productive (≤ 4 Å),-5.94
