category,frac,n
Short-chain,0.7857142857142857,42
Medium-chain,0.6666666666666666,63
"α,β-Unsaturated",0.7285714285714285,70
Aromatic,0.5714285714285714,70
Retinoid,0.5714285714285714,14
Semialdehyde,0.5079365079365079,63
Other,0.14285714285714285,42
