protein,A8,A9,A10,A11,A12,A13,A14
A8,1.0,0.9796237883885812,0.9662762991081455,0.9041660364776477,0.966015531358026,0.9745572666295406,0.9349024484011901
A9,0.9796237883885812,1.0,0.981502319447445,0.9484202646170651,0.9842391238963581,0.9764168781953358,0.9493850205223878
A10,0.9662762991081455,0.981502319447445,1.0,0.9372760153448402,0.9686215860984305,0.9667987560747384,0.9420990333273543
A11,0.9041660364776477,0.9484202646170651,0.9372760153448402,1.0,0.9256750501431404,0.9006362581112073,0.893640334397149
A12,0.966015531358026,0.9842391238963581,0.9686215860984305,0.9256750501431404,1.0,0.9676922647932791,0.9553146359060279
A13,0.9745572666295406,0.9764168781953358,0.9667987560747384,0.9006362581112073,0.9676922647932791,1.0,0.9573992703953783
A14,0.9349024484011901,0.9493850205223878,0.9420990333273543,0.893640334397149,0.9553146359060279,0.9573992703953783,1.0
