protein,ligand,distance,DG,confidence
A12,13_(2E)-but-2-enal,5.528,-6.21,-0.1
A12,14_trans-2-Hexenal,5.344,-6.7,-0.59
A12,15_heptanal,5.407,-6.97,-0.92
A12,16_octanaldehyde,5.564,-7.14,-0.75
A12,17_nonanal,5.572,-7.39,-0.81
A12,18_decanal,5.686,-7.56,-0.67
A12,19_dodecanal,5.389,-8.08,-0.56
A12,20_Citral,5.838,-7.57,-0.81
A12,21_cis-2-Octenal,5.613,-7.27,-0.93
A12,22_trans-2-Octenal,5.444,-7.29,-0.8
A12,23_4-Hydroxynonenal,5.506,-7.31,-0.88
A12,24_Tetradecanal,5.57,-8.58,-0.72
A12,25_hexadecanal,5.502,-9.0,-0.65
A12,26_trans-2-hexadecenal,5.742,-8.95,-0.75
A12,27_Benzaldehyde,5.01,-6.97,-0.15
A12,28_Phenylacetaldehyde,4.951,-7.15,-0.59
A12,29_Salicylaldehyde,4.824,-6.98,-0.32
A12,2_acetaldehyde,5.165,-5.68,-0.09
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",5.817,-7.39,-0.97
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",5.763,-10.45,-1.57
A12,32_9-cis-Retinal,5.564,-9.81,-0.85
A12,34_4-hydroxy-2-nonenal,6.785,-7.5,-0.82
A12,35_Cinnamaldehyde,5.472,-7.54,-0.6
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,5.098,-8.45,-1.68
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",5.455,-6.61,-1.27
A12,39_4-nitrobenzaldehyde,5.767,-6.68,-0.49
A12,3_propylaldehyde,5.145,-5.92,-0.06
A12,40_Furan-2-carbaldehyde,5.11,-7.91,-0.61
A12,41_Indole-3-acetaldehyde,5.292,-7.62,-0.52
A12,42_Glutamate-5-semialdehyde,1.536,-6.19,-0.32
A12,43_Glutamate-1-semialdehyde,5.41,-6.26,-0.44
A12,44_glutarate semialdehyde,1.645,-6.4,-0.28
A12,45_adipate semialdehyde,1.862,-6.61,-0.44
A12,46_Succinic semialdehyde,2.357,-6.19,-0.12
A12,47_methylmalonate semialdehyde,3.169,-6.17,-0.36
A12,48_alpha-aminoadipate semialdehyde,2.138,-6.43,-0.46
A12,49_2-Aminomuconic semialdehyde,1.965,-6.47,-0.21
A12,4_malonaldehyde,3.096,-5.95,-0.19
A12,50_10-formyltetrahydrofolate,14.408,-7.99,-1.42
A12,52_Triose phosphate,2.02,-6.05,-0.65
A12,53_Pyridoxal phosphate,3.85,-7.06,-0.59
A12,57_S-3-oxopropylglutathione,6.977,-8.23,-0.46
A12,58_S-(4-oxobutan-2-yl)glutathione,6.553,-8.36,-1.21
A12,5_butyraldehyde,5.222,-6.2,-0.06
A12,60_S-Formylglutathione,6.213,-7.52,-0.44
A12,6_amylaldehyde,5.572,-6.46,-0.26
A12,7_glutaraldehyde,1.605,-6.39,-0.27
A12,8_hexanal,5.566,-6.69,-0.7
A12,9_2-hydroxypropionaldehyde,5.158,-5.94,-0.13
A13,10_4-guanidinobutyraldehyde,8.034,-5.56,-0.7
A13,11_prop-2-enal,4.42,-5.99,-0.4
A13,12_prop-2-ynal,3.631,-5.96,-0.17
A13,13_(2E)-but-2-enal,3.778,-6.23,-0.68
A13,14_trans-2-Hexenal,3.023,-6.76,-0.91
A13,15_heptanal,7.961,-6.98,-1.43
A13,16_octanaldehyde,1.92,-7.15,-0.84
A13,17_nonanal,7.132,-7.42,-0.52
A13,18_decanal,1.302,-7.38,-1.51
A13,19_dodecanal,6.945,-8.24,-1.41
A13,20_Citral,3.119,-7.82,-1.11
A13,21_cis-2-Octenal,3.253,-7.16,-0.68
A13,22_trans-2-Octenal,1.382,-6.95,-1.37
A13,23_4-Hydroxynonenal,11.468,-7.38,-1.18
A13,24_Tetradecanal,7.434,-8.43,-0.93
A13,25_hexadecanal,2.092,-9.06,-2.02
A13,26_trans-2-hexadecenal,5.451,-8.8,-1.58
A13,27_Benzaldehyde,4.134,-6.9,-0.55
A13,28_Phenylacetaldehyde,2.953,-7.29,-1.21
A13,29_Salicylaldehyde,6.249,-6.96,-1.36
A13,2_acetaldehyde,3.418,-5.73,-0.1
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",8.782,-7.46,-1.56
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",8.769,-9.67,-2.39
A13,32_9-cis-Retinal,2.954,-9.66,-2.26
A13,34_4-hydroxy-2-nonenal,6.727,-7.4,-1.03
A13,35_Cinnamaldehyde,8.499,-7.38,-1.48
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,14.103,-8.26,-1.78
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.078,-6.59,-0.9
A13,39_4-nitrobenzaldehyde,3.057,-6.72,-0.58
A13,3_propylaldehyde,4.039,-5.96,-0.36
A13,40_Furan-2-carbaldehyde,13.516,-7.88,-0.77
A13,41_Indole-3-acetaldehyde,3.56,-7.49,-0.6
A13,42_Glutamate-5-semialdehyde,2.854,-6.24,-0.45
A13,43_Glutamate-1-semialdehyde,7.377,-6.21,-0.68
A13,44_glutarate semialdehyde,2.972,-6.46,-0.19
A13,45_adipate semialdehyde,4.305,-6.64,-0.53
