distance
2.512
2.448
2.068
1.927
2.231
2.256
1.351
1.559
1.787
1.816
1.263
2.017
1.633
5.897
1.39
1.95
1.38
1.7
15.207
1.738
1.861
1.973
1.978
3.713
3.489
47.32
1.791
3.089
2.586
2.424
11.451
10.463
5.858
1.72
5.503
3.06
4.616
2.481
2.954
7.093
2.064
14.232
4.336
15.479
5.404
2.767
1.949
5.146
2.105
5.556
2.264
1.64
1.814
1.806
2.21
2.094
2.049
2.062
2.169
2.178
1.678
2.239
1.886
1.463
2.219
2.8
2.228
1.816
1.929
1.871
2.266
2.207
2.21
8.187
3.488
1.863
2.77
2.57
1.591
3.602
2.212
2.102
11.223
2.22
6.251
1.815
3.256
3.276
3.365
2.592
7.442
6.893
2.931
14.839
4.606
12.414
9.74
5.484
2.284
4.758
2.111
2.143
1.987
1.635
5.565
5.168
5.534
5.528
5.344
5.407
5.564
5.572
5.686
5.389
5.838
5.613
5.444
5.506
5.57
5.502
5.742
5.01
4.951
4.824
5.165
5.817
5.763
5.564
6.785
5.472
5.098
5.455
5.767
5.145
5.11
5.292
1.536
5.41
1.645
1.862
2.357
3.169
2.138
1.965
3.096
14.408
2.02
3.85
6.977
6.553
5.222
6.213
5.572
1.605
5.566
5.158
8.034
4.42
3.631
3.778
3.023
7.961
1.92
7.132
1.302
6.945
3.119
3.253
1.382
11.468
7.434
2.092
5.451
4.134
2.953
6.249
3.418
8.782
8.769
2.954
6.727
8.499
14.103
3.078
3.057
4.039
13.516
3.56
2.854
7.377
2.972
4.305
3.118
5.025
2.762
2.951
3.428
6.739
4.428
14.125
2.628
11.799
3.647
2.979
6.314
7.758
6.478
3.096
2.998
1.267
2.223
1.931
4.354
1.85
3.046
9.877
2.565
4.425
3.88
5.449
2.298
10.293
10.1
6.389
4.645
34.477
2.581
4.199
9.882
7.302
5.69
8.761
2.277
11.804
11.392
3.645
2.895
1.109
10.24
11.081
8.23
4.089
6.654
5.663
4.247
2.904
9.599
3.458
2.983
14.252
8.896
12.748
2.991
15.727
0.95
4.527
1.828
7.531
3.84
1.904
2.365
2.256
2.056
1.94
1.88
1.96
2.059
1.647
2.0
2.514
1.592
1.686
1.858
2.134
2.096
2.266
2.274
3.056
2.829
2.656
2.462
7.729
2.084
2.399
2.069
1.949
1.594
3.249
2.146
2.031
1.747
2.907
6.207
1.984
5.852
6.897
4.459
4.347
7.252
6.89
4.389
14.365
5.858
16.654
4.168
6.12
2.208
5.307
2.558
7.02
2.313
1.99
2.303
2.023
2.506
3.093
2.699
2.337
2.197
2.338
1.598
2.521
2.256
1.257
1.74
2.964
1.71
1.438
1.614
2.418
2.152
2.294
2.633
2.763
1.835
5.125
2.733
2.011
2.101
2.924
2.023
2.375
1.963
2.776
4.303
2.941
6.194
7.153
3.974
3.086
6.962
7.803
3.818
15.536
5.304
7.112
6.001
6.521
2.17
4.076
2.554
1.781
2.442
2.403
