protein,k,n,frac,ci_lo,ci_hi
A8,36,52,0.6923076923076923,0.5573015506778113,0.8008543760864647
A9,40,52,0.7692307692307693,0.6386595708887027,0.8627587265812838
A10,37,52,0.7115384615384616,0.5772695428589907,0.816701976581713
A11,41,52,0.7884615384615384,0.659676348640899,0.877557541505515
A12,11,52,0.21153846153846154,0.12244245849448492,0.34032365135910086
A13,25,52,0.4807692307692308,0.35103894702884453,0.6131454602947278
A14,22,52,0.4230769230769231,0.29867847908860445,0.558059150205685
