protein,ligand,distance,DG,quad
A12,25_hexadecanal,5.502,-9.0,High-affinity non-productive
A12,26_trans-2-hexadecenal,5.742,-8.95,High-affinity non-productive
A12,27_Benzaldehyde,5.01,-6.97,Neither
A12,28_Phenylacetaldehyde,4.951,-7.15,High-affinity non-productive
A12,29_Salicylaldehyde,4.824,-6.98,Neither
A12,2_acetaldehyde,5.165,-5.68,Neither
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",5.817,-7.39,High-affinity non-productive
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",5.763,-10.45,High-affinity non-productive
A12,32_9-cis-Retinal,5.564,-9.81,High-affinity non-productive
A12,34_4-hydroxy-2-nonenal,6.785,-7.5,High-affinity non-productive
A12,35_Cinnamaldehyde,5.472,-7.54,High-affinity non-productive
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,5.098,-8.45,High-affinity non-productive
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",5.455,-6.61,Neither
A12,39_4-nitrobenzaldehyde,5.767,-6.68,Neither
A12,3_propylaldehyde,5.145,-5.92,Neither
A12,40_Furan-2-carbaldehyde,5.11,-7.91,High-affinity non-productive
A12,41_Indole-3-acetaldehyde,5.292,-7.62,High-affinity non-productive
A12,42_Glutamate-5-semialdehyde,1.536,-6.19,Productive low-affinity
A12,43_Glutamate-1-semialdehyde,5.41,-6.26,Neither
A12,44_glutarate semialdehyde,1.645,-6.4,Productive low-affinity
A12,45_adipate semialdehyde,1.862,-6.61,Productive low-affinity
A12,46_Succinic semialdehyde,2.357,-6.19,Productive low-affinity
A12,47_methylmalonate semialdehyde,3.169,-6.17,Productive low-affinity
A12,48_alpha-aminoadipate semialdehyde,2.138,-6.43,Productive low-affinity
A12,49_2-Aminomuconic semialdehyde,1.965,-6.47,Productive low-affinity
A12,4_malonaldehyde,3.096,-5.95,Productive low-affinity
A12,50_10-formyltetrahydrofolate,14.408,-7.99,High-affinity non-productive
A12,52_Triose phosphate,2.02,-6.05,Productive low-affinity
A12,53_Pyridoxal phosphate,3.85,-7.06,Productive high-affinity
A12,57_S-3-oxopropylglutathione,6.977,-8.23,High-affinity non-productive
A12,58_S-(4-oxobutan-2-yl)glutathione,6.553,-8.36,High-affinity non-productive
A12,5_butyraldehyde,5.222,-6.2,Neither
A12,60_S-Formylglutathione,6.213,-7.52,High-affinity non-productive
A12,6_amylaldehyde,5.572,-6.46,Neither
A12,7_glutaraldehyde,1.605,-6.39,Productive low-affinity
A12,8_hexanal,5.566,-6.69,Neither
A12,9_2-hydroxypropionaldehyde,5.158,-5.94,Neither
A13,10_4-guanidinobutyraldehyde,8.034,-5.56,Neither
A13,11_prop-2-enal,4.42,-5.99,Neither
A13,12_prop-2-ynal,3.631,-5.96,Productive low-affinity
A13,13_(2E)-but-2-enal,3.778,-6.23,Productive low-affinity
A13,14_trans-2-Hexenal,3.023,-6.76,Productive low-affinity
A13,15_heptanal,7.961,-6.98,Neither
A13,16_octanaldehyde,1.92,-7.15,Productive high-affinity
A13,17_nonanal,7.132,-7.42,High-affinity non-productive
A13,18_decanal,1.302,-7.38,Productive high-affinity
A13,19_dodecanal,6.945,-8.24,High-affinity non-productive
A13,20_Citral,3.119,-7.82,Productive high-affinity
A13,21_cis-2-Octenal,3.253,-7.16,Productive high-affinity
A13,22_trans-2-Octenal,1.382,-6.95,Productive low-affinity
A13,23_4-Hydroxynonenal,11.468,-7.38,High-affinity non-productive
A13,24_Tetradecanal,7.434,-8.43,High-affinity non-productive
A13,25_hexadecanal,2.092,-9.06,Productive high-affinity
A13,26_trans-2-hexadecenal,5.451,-8.8,High-affinity non-productive
A13,27_Benzaldehyde,4.134,-6.9,Neither
A13,28_Phenylacetaldehyde,2.953,-7.29,Productive high-affinity
A13,29_Salicylaldehyde,6.249,-6.96,Neither
A13,2_acetaldehyde,3.418,-5.73,Productive low-affinity
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",8.782,-7.46,High-affinity non-productive
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",8.769,-9.67,High-affinity non-productive
A13,32_9-cis-Retinal,2.954,-9.66,Productive high-affinity
A13,34_4-hydroxy-2-nonenal,6.727,-7.4,High-affinity non-productive
