protein,ligand,confidence,DG,category
A9,44_glutarate semialdehyde,-0.51,-6.43,Semialdehyde
A9,45_adipate semialdehyde,-0.16,-6.66,Semialdehyde
A9,46_Succinic semialdehyde,-0.19,-6.21,Semialdehyde
A9,47_methylmalonate semialdehyde,-0.27,-6.17,Semialdehyde
A9,48_alpha-aminoadipate semialdehyde,-0.46,-6.55,Semialdehyde
A9,49_2-Aminomuconic semialdehyde,-0.61,-6.46,Semialdehyde
A9,4_malonaldehyde,-0.21,-5.9,Short-chain
A9,50_10-formyltetrahydrofolate,-1.03,-8.05,Other
A9,51_6R-Tetrahydrofolic acid,-0.49,-7.99,Other
A9,52_Triose phosphate,-0.69,-6.11,Other
A9,53_Pyridoxal phosphate,-0.67,-6.82,Other
A9,55_Ethanol,-0.14,-5.7,Other
A9,56_S-hydroxy-methylglutathione,-1.86,-7.47,Other
A9,57_S-3-oxopropylglutathione,-1.85,-8.19,Other
A9,58_S-(4-oxobutan-2-yl)glutathione,-2.36,-8.21,Other
A9,59_4-Hydroxynonenal_glutathione,-1.58,-8.61,Other
A9,5_butyraldehyde,-0.03,-6.2,Short-chain
A9,60_S-Formylglutathione,-1.09,-7.58,Other
A9,6_amylaldehyde,-0.14,-6.4,Short-chain
A9,7_glutaraldehyde,-0.26,-6.4,Medium-chain
A9,8_hexanal,-0.26,-6.65,Medium-chain
A9,9_2-hydroxypropionaldehyde,-0.05,-5.94,Short-chain
