protein,ligand,confidence,DG,category
A11,24_Tetradecanal,-0.86,-7.12,Medium-chain
A11,25_hexadecanal,-1.63,-7.42,Medium-chain
A11,26_trans-2-hexadecenal,-1.07,-7.38,"α,β-Unsaturated"
A11,27_Benzaldehyde,-0.09,-6.58,Aromatic
A11,28_Phenylacetaldehyde,-0.44,-6.78,Aromatic
A11,29_Salicylaldehyde,-0.63,-6.69,Aromatic
A11,2_acetaldehyde,0.14,-5.65,Short-chain
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.35,-7.02,Aromatic
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-1.23,-8.72,Retinoid
A11,32_9-cis-Retinal,-1.13,-8.24,Retinoid
A11,33_11-cis-Retinol,-1.12,-8.06,Retinoid
A11,34_4-hydroxy-2-nonenal,-0.52,-7.06,"α,β-Unsaturated"
A11,35_Cinnamaldehyde,-0.24,-6.99,Aromatic
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,-0.94,-7.51,Aromatic
A11,37_thiobenzaldehyde,-0.3,-6.69,Aromatic
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.89,-6.66,Aromatic
A11,39_4-nitrobenzaldehyde,-0.34,-6.48,Aromatic
A11,3_propylaldehyde,-0.03,-5.84,Short-chain
A11,40_Furan-2-carbaldehyde,-0.12,-7.67,Aromatic
A11,41_Indole-3-acetaldehyde,-0.38,-7.21,Aromatic
A11,42_Glutamate-5-semialdehyde,-0.33,-6.12,Semialdehyde
A11,43_Glutamate-1-semialdehyde,-0.35,-5.99,Semialdehyde
A11,44_glutarate semialdehyde,-0.18,-6.4,Semialdehyde
A11,45_adipate semialdehyde,-0.28,-6.66,Semialdehyde
A11,46_Succinic semialdehyde,-0.32,-6.13,Semialdehyde
A11,47_methylmalonate semialdehyde,-0.37,-6.12,Semialdehyde
A11,48_alpha-aminoadipate semialdehyde,-0.38,-6.42,Semialdehyde
A11,49_2-Aminomuconic semialdehyde,-0.52,-6.21,Semialdehyde
A11,4_malonaldehyde,-0.26,-5.89,Short-chain
A11,50_10-formyltetrahydrofolate,-0.57,-8.19,Other
A11,51_6R-Tetrahydrofolic acid,-0.49,-7.59,Other
A11,52_Triose phosphate,-0.57,-6.1,Other
A11,53_Pyridoxal phosphate,-0.81,-6.91,Other
A11,55_Ethanol,-0.2,-5.65,Other
A11,56_S-hydroxy-methylglutathione,-1.3,-7.44,Other
A11,57_S-3-oxopropylglutathione,-1.82,-7.82,Other
A11,58_S-(4-oxobutan-2-yl)glutathione,-1.43,-8.21,Other
A11,59_4-Hydroxynonenal_glutathione,-0.77,-8.9,Other
A11,5_butyraldehyde,-0.15,-6.06,Short-chain
A11,60_S-Formylglutathione,-1.63,-7.39,Other
A11,6_amylaldehyde,-0.37,-6.22,Short-chain
A11,7_glutaraldehyde,-0.54,-6.39,Medium-chain
A11,8_hexanal,-0.43,-6.48,Medium-chain
A11,9_2-hydroxypropionaldehyde,-0.14,-5.86,Short-chain
A12,10_4-guanidinobutyraldehyde,-0.32,-5.94,Semialdehyde
A12,11_prop-2-enal,-0.14,-5.92,"α,β-Unsaturated"
A12,12_prop-2-ynal,-0.22,-5.96,"α,β-Unsaturated"
A12,13_(2E)-but-2-enal,-0.1,-6.21,"α,β-Unsaturated"
A12,14_trans-2-Hexenal,-0.59,-6.7,"α,β-Unsaturated"
A12,15_heptanal,-0.92,-6.97,Medium-chain
A12,16_octanaldehyde,-0.75,-7.14,Medium-chain
A12,17_nonanal,-0.81,-7.39,Medium-chain
A12,18_decanal,-0.67,-7.56,Medium-chain
A12,19_dodecanal,-0.56,-8.08,Medium-chain
A12,1_formaldehyde,-0.2,-5.4,Short-chain
A12,20_Citral,-0.81,-7.57,"α,β-Unsaturated"
A12,21_cis-2-Octenal,-0.93,-7.27,"α,β-Unsaturated"
