x,xend,y,yend
0.0,0.0,0.0,0.20174241001832055
0.0,1.0,0.20174241001832055,0.20174241001832055
1.0,1.0,0.20174241001832055,0.0
3.0,3.0,0.0,0.07348469228349462
3.0,4.0,0.07348469228349462,0.07348469228349462
4.0,4.0,0.07348469228349462,0.0
2.0,2.0,0.0,0.27652606869274826
2.0,3.5,0.27652606869274826,0.27652606869274826
3.5,3.5,0.27652606869274826,0.07348469228349462
0.5,0.5,0.20174241001832055,0.5296728550089511
0.5,2.75,0.5296728550089511,0.5296728550089511
2.75,2.75,0.5296728550089511,0.27652606869274826
6.0,6.0,0.0,0.1587450786638761
6.0,7.0,0.1587450786638761,0.1587450786638761
7.0,7.0,0.1587450786638761,0.0
9.0,9.0,0.0,0.09695359714832671
9.0,10.0,0.09695359714832671,0.09695359714832671
10.0,10.0,0.09695359714832671,0.0
8.0,8.0,0.0,0.21740898478827156
8.0,9.5,0.21740898478827156,0.21740898478827156
9.5,9.5,0.21740898478827156,0.09695359714832671
6.5,6.5,0.1587450786638761,0.4165253093550656
6.5,8.75,0.4165253093550656,0.4165253093550656
8.75,8.75,0.4165253093550656,0.21740898478827156
5.0,5.0,0.0,1.2098099024226907
5.0,7.625,1.2098099024226907,1.2098099024226907
7.625,7.625,1.2098099024226907,0.4165253093550656
1.625,1.625,0.5296728550089511,1.5213116350403333
1.625,6.3125,1.5213116350403333,1.5213116350403333
6.3125,6.3125,1.5213116350403333,1.2098099024226907
12.0,12.0,0.0,0.16911534525287814
12.0,13.0,0.16911534525287814,0.16911534525287814
13.0,13.0,0.16911534525287814,0.0
11.0,11.0,0.0,0.9840392946083669
11.0,12.5,0.9840392946083669,0.9840392946083669
12.5,12.5,0.9840392946083669,0.16911534525287814
15.0,15.0,0.0,0.181107702762748
15.0,16.0,0.181107702762748,0.181107702762748
16.0,16.0,0.181107702762748,0.0
14.0,14.0,0.0,0.2708012801545317
14.0,15.5,0.2708012801545317,0.2708012801545317
15.5,15.5,0.2708012801545317,0.181107702762748
19.0,19.0,0.0,0.1058300524425833
19.0,20.0,0.1058300524425833,0.1058300524425833
20.0,20.0,0.1058300524425833,0.0
18.0,18.0,0.0,0.12110601416389995
18.0,19.5,0.12110601416389995,0.12110601416389995
19.5,19.5,0.12110601416389995,0.1058300524425833
17.0,17.0,0.0,0.383905370284571
17.0,18.75,0.383905370284571,0.383905370284571
18.75,18.75,0.383905370284571,0.12110601416389995
14.75,14.75,0.2708012801545317,0.447072487996979
14.75,17.875,0.447072487996979,0.447072487996979
17.875,17.875,0.447072487996979,0.383905370284571
25.0,25.0,0.0,0.05099019513592815
25.0,26.0,0.05099019513592815,0.05099019513592815
