protein,ligand,DG,col_index,lig_num,category
A10,2_acetaldehyde,-5.72,12,2,Short-chain
A11,2_acetaldehyde,-5.65,12,2,Short-chain
A12,2_acetaldehyde,-5.68,12,2,Short-chain
A13,2_acetaldehyde,-5.73,12,2,Short-chain
A14,2_acetaldehyde,-5.63,12,2,Short-chain
A8,55_Ethanol,-5.75,13,55,Other
A9,55_Ethanol,-5.7,13,55,Other
A10,55_Ethanol,-5.72,13,55,Other
A11,55_Ethanol,-5.65,13,55,Other
A12,55_Ethanol,-5.75,13,55,Other
A13,55_Ethanol,-5.71,13,55,Other
A14,55_Ethanol,-5.78,13,55,Other
A8,43_Glutamate-1-semialdehyde,-6.08,14,43,Semialdehyde
A9,43_Glutamate-1-semialdehyde,-6.25,14,43,Semialdehyde
A10,43_Glutamate-1-semialdehyde,-6.21,14,43,Semialdehyde
A11,43_Glutamate-1-semialdehyde,-5.99,14,43,Semialdehyde
A12,43_Glutamate-1-semialdehyde,-6.26,14,43,Semialdehyde
A13,43_Glutamate-1-semialdehyde,-6.21,14,43,Semialdehyde
A14,43_Glutamate-1-semialdehyde,-6.19,14,43,Semialdehyde
A8,42_Glutamate-5-semialdehyde,-6.26,15,42,Semialdehyde
A9,42_Glutamate-5-semialdehyde,-6.34,15,42,Semialdehyde
A10,42_Glutamate-5-semialdehyde,-6.29,15,42,Semialdehyde
A11,42_Glutamate-5-semialdehyde,-6.12,15,42,Semialdehyde
A12,42_Glutamate-5-semialdehyde,-6.19,15,42,Semialdehyde
A13,42_Glutamate-5-semialdehyde,-6.24,15,42,Semialdehyde
A14,42_Glutamate-5-semialdehyde,-6.07,15,42,Semialdehyde
A8,46_Succinic semialdehyde,-6.2,16,46,Semialdehyde
A9,46_Succinic semialdehyde,-6.21,16,46,Semialdehyde
A10,46_Succinic semialdehyde,-6.24,16,46,Semialdehyde
A11,46_Succinic semialdehyde,-6.13,16,46,Semialdehyde
A12,46_Succinic semialdehyde,-6.19,16,46,Semialdehyde
A13,46_Succinic semialdehyde,-6.2,16,46,Semialdehyde
A14,46_Succinic semialdehyde,-6.16,16,46,Semialdehyde
A8,52_Triose phosphate,-6.07,17,52,Other
A9,52_Triose phosphate,-6.11,17,52,Other
A10,52_Triose phosphate,-6.06,17,52,Other
A11,52_Triose phosphate,-6.1,17,52,Other
A12,52_Triose phosphate,-6.05,17,52,Other
A13,52_Triose phosphate,-6.12,17,52,Other
A14,52_Triose phosphate,-6.31,17,52,Other
A8,47_methylmalonate semialdehyde,-6.23,18,47,Semialdehyde
A9,47_methylmalonate semialdehyde,-6.17,18,47,Semialdehyde
A10,47_methylmalonate semialdehyde,-6.23,18,47,Semialdehyde
A11,47_methylmalonate semialdehyde,-6.12,18,47,Semialdehyde
A12,47_methylmalonate semialdehyde,-6.17,18,47,Semialdehyde
A13,47_methylmalonate semialdehyde,-6.25,18,47,Semialdehyde
A14,47_methylmalonate semialdehyde,-6.3,18,47,Semialdehyde
A8,13_(2E)-but-2-enal,-6.27,19,13,"α,β-Unsaturated"
A9,13_(2E)-but-2-enal,-6.14,19,13,"α,β-Unsaturated"
A10,13_(2E)-but-2-enal,-6.21,19,13,"α,β-Unsaturated"
