protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.64,0,38,Aromatic,DHF-OH-acetald.,0.0
A8,39_4-nitrobenzaldehyde,-6.69,0,39,Aromatic,4-NO₂-benzald.,0.0
A8,3_propylaldehyde,-6.0,0,3,Short-chain,propylaldehyde,0.0
A8,40_Furan-2-carbaldehyde,-7.95,1,40,Aromatic,furan-2-carbald.,7.0
A8,41_Indole-3-acetaldehyde,-7.78,1,41,Aromatic,indole-3-acetald.,7.0
A8,42_Glutamate-5-semialdehyde,-6.26,0,42,Semialdehyde,Glu-5-semiald.,0.0
A8,43_Glutamate-1-semialdehyde,-6.08,0,43,Semialdehyde,Glu-1-semiald.,0.0
A8,44_glutarate semialdehyde,-6.51,0,44,Semialdehyde,glutarate-semiald.,0.0
A8,45_adipate semialdehyde,-6.75,0,45,Semialdehyde,adipate-semiald.,0.0
A8,46_Succinic semialdehyde,-6.2,0,46,Semialdehyde,succinic-semiald.,0.0
A8,47_methylmalonate semialdehyde,-6.23,0,47,Semialdehyde,MeMal-semiald.,0.0
A8,48_alpha-aminoadipate semialdehyde,-6.53,0,48,Semialdehyde,α-AASA,0.0
A8,49_2-Aminomuconic semialdehyde,-6.52,0,49,Semialdehyde,2-AM-semiald.,0.0
A8,4_malonaldehyde,-5.99,0,4,Short-chain,malonaldehyde,0.0
A8,50_10-formyltetrahydrofolate,-7.69,1,50,Other,10-formyl-THF,7.0
A8,52_Triose phosphate,-6.07,0,52,Other,Triose phosphate,0.0
A8,53_Pyridoxal phosphate,-6.65,0,53,Other,Pyridoxal phosphate,1.0
A8,57_S-3-oxopropylglutathione,-7.22,1,57,Other,S-3-oxopropyl-GSH,7.0
A8,58_S-(4-oxobutan-2-yl)glutathione,-8.42,1,58,Other,S-4-oxobutyl-GSH,7.0
A8,5_butyraldehyde,-6.24,0,5,Short-chain,butyraldehyde,0.0
A8,60_S-Formylglutathione,-7.44,1,60,Other,S-formyl-GSH,7.0
A8,6_amylaldehyde,-6.47,0,6,Short-chain,amylaldehyde,0.0
A8,7_glutaraldehyde,-6.48,0,7,Medium-chain,glutaraldehyde,0.0
A8,8_hexanal,-6.77,0,8,Medium-chain,hexanal,0.0
A8,9_2-hydroxypropionaldehyde,-6.03,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A9,10_4-guanidinobutyraldehyde,-5.98,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A9,11_prop-2-enal,-5.93,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A9,12_prop-2-ynal,-5.91,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A9,13_(2E)-but-2-enal,-6.14,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A9,14_trans-2-Hexenal,-6.63,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
A9,15_heptanal,-6.91,0,15,Medium-chain,heptanal,1.0
A9,16_octanaldehyde,-7.13,1,16,Medium-chain,octanaldehyde,6.0
A9,17_nonanal,-7.4,1,17,Medium-chain,nonanal,6.0
A9,18_decanal,-7.64,1,18,Medium-chain,decanal,6.0
A9,19_dodecanal,-8.06,1,19,Medium-chain,dodecanal,7.0
A9,20_Citral,-7.65,1,20,"α,β-Unsaturated",Citral,7.0
A9,21_cis-2-Octenal,-7.11,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A9,22_trans-2-Octenal,-7.16,1,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A9,23_4-Hydroxynonenal,-7.37,1,23,"α,β-Unsaturated",4-HNE,7.0
A9,24_Tetradecanal,-8.35,1,24,Medium-chain,Tetradecanal,7.0
A9,25_hexadecanal,-8.6,1,25,Medium-chain,hexadecanal,7.0
A9,26_trans-2-hexadecenal,-8.44,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A9,27_Benzaldehyde,-6.89,0,27,Aromatic,benzald.,0.0
A9,28_Phenylacetaldehyde,-7.16,1,28,Aromatic,phenylacetald.,5.0
A9,29_Salicylaldehyde,-6.88,0,29,Aromatic,salicylald.,2.0
A9,2_acetaldehyde,-5.68,0,2,Short-chain,acetaldehyde,0.0
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.44,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.35,1,31,Retinoid,β-carotene ald.,7.0
A9,32_9-cis-Retinal,-9.37,1,32,Retinoid,9-cis-retinal,7.0
A9,34_4-hydroxy-2-nonenal,-7.35,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A9,35_Cinnamaldehyde,-7.42,1,35,Aromatic,cinnamald.,5.0
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.32,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.69,0,38,Aromatic,DHF-OH-acetald.,0.0
A9,39_4-nitrobenzaldehyde,-6.63,0,39,Aromatic,4-NO₂-benzald.,0.0
A9,3_propylaldehyde,-5.93,0,3,Short-chain,propylaldehyde,0.0
A9,40_Furan-2-carbaldehyde,-7.97,1,40,Aromatic,furan-2-carbald.,7.0
A9,41_Indole-3-acetaldehyde,-7.59,1,41,Aromatic,indole-3-acetald.,7.0
A9,42_Glutamate-5-semialdehyde,-6.34,0,42,Semialdehyde,Glu-5-semiald.,0.0
A9,43_Glutamate-1-semialdehyde,-6.25,0,43,Semialdehyde,Glu-1-semiald.,0.0
A9,44_glutarate semialdehyde,-6.43,0,44,Semialdehyde,glutarate-semiald.,0.0
A9,45_adipate semialdehyde,-6.66,0,45,Semialdehyde,adipate-semiald.,0.0
A9,46_Succinic semialdehyde,-6.21,0,46,Semialdehyde,succinic-semiald.,0.0
A9,47_methylmalonate semialdehyde,-6.17,0,47,Semialdehyde,MeMal-semiald.,0.0
A9,48_alpha-aminoadipate semialdehyde,-6.55,0,48,Semialdehyde,α-AASA,0.0
A9,49_2-Aminomuconic semialdehyde,-6.46,0,49,Semialdehyde,2-AM-semiald.,0.0
A9,4_malonaldehyde,-5.9,0,4,Short-chain,malonaldehyde,0.0
A9,50_10-formyltetrahydrofolate,-8.05,1,50,Other,10-formyl-THF,7.0
A9,52_Triose phosphate,-6.11,0,52,Other,Triose phosphate,0.0
A9,53_Pyridoxal phosphate,-6.82,0,53,Other,Pyridoxal phosphate,1.0
A9,57_S-3-oxopropylglutathione,-8.19,1,57,Other,S-3-oxopropyl-GSH,7.0
A9,58_S-(4-oxobutan-2-yl)glutathione,-8.21,1,58,Other,S-4-oxobutyl-GSH,7.0
A9,5_butyraldehyde,-6.2,0,5,Short-chain,butyraldehyde,0.0
A9,60_S-Formylglutathione,-7.58,1,60,Other,S-formyl-GSH,7.0
A9,6_amylaldehyde,-6.4,0,6,Short-chain,amylaldehyde,0.0
A9,7_glutaraldehyde,-6.4,0,7,Medium-chain,glutaraldehyde,0.0
A9,8_hexanal,-6.65,0,8,Medium-chain,hexanal,0.0
A9,9_2-hydroxypropionaldehyde,-5.94,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
