protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A11,24_Tetradecanal,-7.12,1,24,Medium-chain,Tetradecanal,7.0
A11,25_hexadecanal,-7.42,1,25,Medium-chain,hexadecanal,7.0
A11,26_trans-2-hexadecenal,-7.38,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A11,27_Benzaldehyde,-6.58,0,27,Aromatic,benzald.,0.0
A11,28_Phenylacetaldehyde,-6.78,0,28,Aromatic,phenylacetald.,5.0
A11,29_Salicylaldehyde,-6.69,0,29,Aromatic,salicylald.,2.0
A11,2_acetaldehyde,-5.65,0,2,Short-chain,acetaldehyde,0.0
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.02,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.72,1,31,Retinoid,β-carotene ald.,7.0
A11,32_9-cis-Retinal,-8.24,1,32,Retinoid,9-cis-retinal,7.0
A11,34_4-hydroxy-2-nonenal,-7.06,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A11,35_Cinnamaldehyde,-6.99,0,35,Aromatic,cinnamald.,5.0
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,-7.51,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.66,0,38,Aromatic,DHF-OH-acetald.,0.0
A11,39_4-nitrobenzaldehyde,-6.48,0,39,Aromatic,4-NO₂-benzald.,0.0
A11,3_propylaldehyde,-5.84,0,3,Short-chain,propylaldehyde,0.0
A11,40_Furan-2-carbaldehyde,-7.67,1,40,Aromatic,furan-2-carbald.,7.0
A11,41_Indole-3-acetaldehyde,-7.21,1,41,Aromatic,indole-3-acetald.,7.0
A11,42_Glutamate-5-semialdehyde,-6.12,0,42,Semialdehyde,Glu-5-semiald.,0.0
A11,43_Glutamate-1-semialdehyde,-5.99,0,43,Semialdehyde,Glu-1-semiald.,0.0
A11,44_glutarate semialdehyde,-6.4,0,44,Semialdehyde,glutarate-semiald.,0.0
A11,45_adipate semialdehyde,-6.66,0,45,Semialdehyde,adipate-semiald.,0.0
A11,46_Succinic semialdehyde,-6.13,0,46,Semialdehyde,succinic-semiald.,0.0
A11,47_methylmalonate semialdehyde,-6.12,0,47,Semialdehyde,MeMal-semiald.,0.0
A11,48_alpha-aminoadipate semialdehyde,-6.42,0,48,Semialdehyde,α-AASA,0.0
A11,49_2-Aminomuconic semialdehyde,-6.21,0,49,Semialdehyde,2-AM-semiald.,0.0
