protein,ligand,category,DG_prediction_kcalmol,CYS_SG_to_aldC_distance_A,LE,N_total,N_CC,N_CA,N_CP,N_PA
A10,47_methylmalonate semialdehyde,Semialdehyde,-6.23,2.481,0.89,41.25003018294893,2.6207519176233554,3.931127876435033,13.879260155556217,20.818890233334322
A10,48_alpha-aminoadipate semialdehyde,Semialdehyde,-6.33,2.954,0.633,45.09804586437356,2.6570265355093428,3.9855398032640137,15.382191810240082,23.07328771536012
A10,49_2-Aminomuconic semialdehyde,Semialdehyde,-6.38,7.093,0.638,47.16637412121866,2.623550949869253,3.9353264248038786,16.242998698618212,24.364498047927317
A10,4_malonaldehyde,Short-chain,-5.96,2.064,1.192,32.53426909121077,1.9241851216178423,2.8862776824267633,11.089522514866466,16.634283772299696
A10,50_10-formyltetrahydrofolate,Other,-7.87,14.232,0.23147058823529412,101.36112092544185,4.28723754474311,6.4308563171146655,36.25721082543363,54.38581623815044
A10,52_Triose phosphate,Other,-6.06,4.336,0.606,39.45363416357177,0.8620619064740428,1.293092859711064,14.919391758954667,22.379087638431997
A10,53_Pyridoxal phosphate,Other,-6.68,15.479,0.4175,53.74089197443498,4.509613209142738,6.764419813714105,16.986743580631256,25.480115370946884
A10,57_S-3-oxopropylglutathione,Other,-7.5,5.404,0.3125,97.05094025280134,0.6026863389699098,0.9040295084548644,38.21768976215063,57.32653464322594
A10,58_S-(4-oxobutan-2-yl)glutathione,Other,-8.03,2.767,0.3212,113.58299700770647,2.176250222667671,3.2643753340015063,43.25694858041492,64.88542287062238
A10,5_butyraldehyde,Short-chain,-6.2,1.949,1.24,37.07646625683165,3.689602745438174,5.53440411815726,11.140983757294487,16.711475635941728
A10,60_S-Formylglutathione,Other,-7.71,5.146,0.35045454545454546,107.0300157977883,0.0,0.0,42.81200631911532,64.21800947867297
A10,6_amylaldehyde,Short-chain,-6.4,2.105,1.0666666666666667,42.0594973649725,4.732394445182156,7.098591667773234,12.091404500806846,18.137106751210265
A10,7_glutaraldehyde,Medium-chain,-6.46,5.556,0.9228571428571428,46.57302299112369,3.965692907694183,5.9485393615412745,14.663516288755297,21.99527443313294
A10,8_hexanal,Medium-chain,-6.62,2.264,0.9457142857142857,47.35898249050716,5.944499482208459,8.916749223312689,12.999093513994405,19.498640270991604
A10,9_2-hydroxypropionaldehyde,Short-chain,-6.0,1.64,1.2,34.46374889216279,1.7991225713338714,2.698683857000807,11.986376985531244,17.979565478296866
A11,10_4-guanidinobutyraldehyde,Semialdehyde,-6.09,1.814,0.6766666666666666,38.592535198162395,1.5937430619001134,2.39061459285017,13.843271017364845,20.764906526047266
A11,11_prop-2-enal,"α,β-Unsat",-5.86,1.806,1.465,27.817070288043833,2.1987539591346112,3.298130938701916,8.928074156082923,13.392111234124384
A11,12_prop-2-ynal,"α,β-Unsat",-5.82,2.21,1.455,27.691794380997226,1.678584269394782,2.5178764040921724,9.398133483004107,14.097200224506162
A11,13_(2E)-but-2-enal,"α,β-Unsat",-6.04,2.094,1.208,32.666492947932376,3.0068417875473488,4.510262681321023,10.059755391625602,15.089633087438402
A11,14_trans-2-Hexenal,"α,β-Unsat",-6.4,2.049,0.9142857142857144,41.569947256050924,4.907470840067665,7.361206260101497,11.720508062352707,17.580762093529057
A11,15_heptanal,Medium-chain,-6.63,2.062,0.82875,46.402454695546936,6.427822699276148,9.641734048914222,12.133159178942627,18.199738768413937
A11,16_octanaldehyde,Medium-chain,-6.69,2.169,0.7433333333333334,46.881820750104694,7.103846025527533,10.655769038291298,11.648882274514346,17.473323411771517
A11,17_nonanal,Medium-chain,-6.82,2.178,0.682,49.230803854631276,8.099944158202486,12.149916237303728,11.592377383650025,17.388566075475033
A11,18_decanal,Medium-chain,-6.95,1.678,0.6318181818181818,51.465635735203755,9.136865864189843,13.705298796284765,11.449388429891659,17.174082644837487
A11,19_dodecanal,Medium-chain,-7.35,2.239,0.5653846153846154,59.14831659360463,12.039048359462294,18.058572539193438,11.62027827797956,17.430417416969338
A11,20_Citral,"α,β-Unsat",-7.17,1.886,0.6518181818181819,58.91603189393593,9.579746785953985,14.369620178930974,13.98666597162039,20.97999895743058
A11,21_cis-2-Octenal,"α,β-Unsat",-6.69,1.463,0.7433333333333334,47.57956824103798,6.854312600803933,10.281468901205898,12.177514695611263,18.266272043416894
A11,22_trans-2-Octenal,"α,β-Unsat",-6.71,2.219,0.7455555555555555,48.142640054541374,6.935428726257232,10.403143089385846,12.32162729555932,18.48244094333898
A11,23_4-Hydroxynonenal,"α,β-Unsat",-7.07,2.8,0.6427272727272727,60.86235428758526,7.471259737829674,11.20688960674451,16.873681977204434,25.310522965806648
A11,24_Tetradecanal,Medium-chain,-7.12,2.228,0.4746666666666667,50.99598036212148,11.705957305523787,17.55893595828568,8.692434839324806,13.038652258987208
A11,25_hexadecanal,Medium-chain,-7.42,1.816,0.4364705882352941,55.743445261871635,14.245423248155513,21.368134872233266,8.051954856593142,12.077932284889712
A11,26_trans-2-hexadecenal,"α,β-Unsat",-7.38,1.929,0.4341176470588235,55.497860580793024,13.76827923862035,20.652418857930524,8.430864993696863,12.646297490545292
A11,27_Benzaldehyde,Aromatic,-6.58,1.871,0.8225,47.054792864206185,5.4883141903714625,8.232471285557192,13.333602955311012,20.000404432966516
A11,28_Phenylacetaldehyde,Aromatic,-6.78,2.266,0.7533333333333334,53.277334265586916,6.087823395414399,9.131735093121598,15.223110310820367,22.834665466230547
A11,29_Salicylaldehyde,Aromatic,-6.69,2.207,0.7433333333333334,51.394193709034425,5.490099085978088,8.235148628967131,15.067578397635684,22.601367596453525
A11,2_acetaldehyde,Short-chain,-5.65,2.21,1.8833333333333335,21.294529153717416,1.5652898563259217,2.3479347844888823,6.952521805161045,10.428782707741567
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",Aromatic,-7.02,8.187,0.585,60.96941858475852,6.726755952456408,10.090133928684612,17.661011481447,26.491517222170504
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",Retinoid,-8.72,3.488,0.4152380952380953,85.45460609974975,21.981488327038647,32.97223249055797,12.200354112861255,18.300531169291883
A11,32_9-cis-Retinal,Retinoid,-8.24,1.863,0.3923809523809524,74.42820531268526,19.14516725258205,28.71775087887307,10.62611487249206,15.93917230873809
A11,34_4-hydroxy-2-nonenal,"α,β-Unsat",-7.06,2.77,0.6418181818181817,60.56833325237952,7.4351666956179345,11.1527500434269,16.792166605333875,25.188249908000813
A11,35_Cinnamaldehyde,Aromatic,-6.99,2.57,0.6990000000000001,57.64618406015226,7.49150592651052,11.23725888976578,15.566967697550385,23.350451546325576
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,Aromatic,-7.51,1.591,0.5364285714285714,66.82196339434275,11.55463117027177,17.331946755407653,15.174154187465332,22.761231281197997
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",Aromatic,-6.66,3.602,0.555,65.5608214849921,0.0,0.0,26.224328593996844,39.33649289099526
A11,39_4-nitrobenzaldehyde,Aromatic,-6.48,2.212,0.5890909090909091,44.36287537137423,5.038587508429448,7.557881262644171,12.706562640120245,19.059843960180366
A11,3_propylaldehyde,Short-chain,-5.84,2.102,1.46,26.713387108653645,2.310975118769627,3.46646267815444,8.374379724691833,12.561569587037747
A11,40_Furan-2-carbaldehyde,Aromatic,-7.67,11.223,0.4511764705882353,70.49160262843384,12.502155670170268,18.753233505255402,15.694485381203265,23.541728071804897
A11,41_Indole-3-acetaldehyde,Aromatic,-7.21,2.22,0.6008333333333333,63.97277041000583,8.336291712127858,12.504437568191788,17.252816451874477,25.87922467781171
A11,42_Glutamate-5-semialdehyde,Semialdehyde,-6.12,6.251,0.68,39.20104902007178,1.7998508306748962,2.699776246012344,13.880568777353815,20.820853166030723
A11,43_Glutamate-1-semialdehyde,Semialdehyde,-5.99,1.815,0.6655555555555556,34.650927258813454,1.5909395735429888,2.3864093603144827,12.269431329982394,18.40414699497359
A11,44_glutarate semialdehyde,Semialdehyde,-6.4,3.256,0.8,45.04667994385383,3.6640969466330713,5.496145419949606,14.354575030908462,21.531862546362692
A11,45_adipate semialdehyde,Semialdehyde,-6.66,3.276,0.74,51.875797590387954,4.894135664002501,7.341203496003752,15.85618337215268,23.784275058229017
A11,46_Succinic semialdehyde,Semialdehyde,-6.13,3.365,0.8757142857142857,37.4690349926302,2.5605089546130393,3.8407634319195583,12.427105042439042,18.64065756365856
A11,47_methylmalonate semialdehyde,Semialdehyde,-6.12,2.592,0.8742857142857143,37.56100309341691,2.3863757298684205,3.579563594802631,12.638025507498341,18.95703826124751
A11,48_alpha-aminoadipate semialdehyde,Semialdehyde,-6.42,7.442,0.642,48.14979332888004,2.836825323626516,4.2552379854397735,16.4230920079255,24.634638011888246
A11,49_2-Aminomuconic semialdehyde,Semialdehyde,-6.21,6.893,0.621,41.35602368599608,2.3003598908273886,3.450539836241083,14.242049583571044,21.363074375356565
A11,4_malonaldehyde,Short-chain,-5.89,2.931,1.178,30.16197863664331,1.7838799564998742,2.675819934749811,10.280911498157451,15.421367247236173
A11,50_10-formyltetrahydrofolate,Other,-8.19,14.839,0.24088235294117646,112.66270932130992,4.765257061927011,7.147885592890516,40.29982666659696,60.44973999989543
A11,52_Triose phosphate,Other,-6.1,4.606,0.61,40.94245054710279,0.8945925444541957,1.3418888166812935,15.48238767438692,23.223581511580377
A11,53_Pyridoxal phosphate,Other,-6.91,12.414,0.431875,61.09827599474455,5.127000731822994,7.69050109773449,19.312309666074825,28.968464499112237
A11,57_S-3-oxopropylglutathione,Other,-7.82,9.74,0.32583333333333336,109.47346060515993,0.6798301903580583,1.0197452855370872,43.10955405170591,64.66433107755887
A11,58_S-(4-oxobutan-2-yl)glutathione,Other,-8.21,5.484,0.3284,120.33050178044155,2.305532414113276,3.4582986211699143,45.826668298063346,68.74000244709501
A11,5_butyraldehyde,Short-chain,-6.06,2.284,1.212,32.75087852686794,3.259149091803719,4.888723637705578,9.84120231894346,14.761803478415185
A11,60_S-Formylglutathione,Other,-7.39,4.758,0.3359090909090909,94.39178515007897,0.0,0.0,37.75671406003159,56.63507109004738
A11,6_amylaldehyde,Short-chain,-6.22,2.111,1.0366666666666666,36.65184770376174,4.123943730801591,6.1859155962023875,10.536795350703104,15.805193026054654
A11,7_glutaraldehyde,Medium-chain,-6.39,2.143,0.9128571428571428,44.34006983401501,3.7755569463663785,5.6633354195495675,13.960470987239626,20.940706480859436
A11,8_hexanal,Medium-chain,-6.48,1.987,0.9257142857142858,43.26623091725346,5.430777304733655,8.146165957100482,11.875715062167728,17.813572593251592
A11,9_2-hydroxypropionaldehyde,Short-chain,-5.86,1.635,1.1720000000000002,29.63882404726001,1.5472454113471301,2.320868117020695,10.308284207556873,15.46242631133531
A12,10_4-guanidinobutyraldehyde,Semialdehyde,-5.94,5.565,0.66,33.28163585896575,1.3744206221890893,2.0616309332836336,11.93823372139721,17.907350582095816
A12,11_prop-2-enal,"α,β-Unsat",-5.92,5.168,1.48,29.75779612209339,2.3521553981440015,3.528233097216002,9.550963050693355,14.326444576040032
A12,12_prop-2-ynal,"α,β-Unsat",-5.96,5.534,1.49,32.419661714338204,1.9651718275841341,2.947757741376201,11.002692858151148,16.50403928722672
