protein,ligand,rank1_confidence,DG_prediction_kcalmol,prodigy_rc
A10,39_4-nitrobenzaldehyde,-0.83,-6.74,0
A10,3_propylaldehyde,0.37,-5.96,0
A10,40_Furan-2-carbaldehyde,-0.02,-7.59,0
A10,41_Indole-3-acetaldehyde,-0.55,-7.43,0
A10,42_Glutamate-5-semialdehyde,-0.15,-6.29,0
A10,43_Glutamate-1-semialdehyde,-0.36,-6.21,0
A10,44_glutarate semialdehyde,0.1,-6.51,0
A10,45_adipate semialdehyde,-0.13,-6.73,0
A10,46_Succinic semialdehyde,-0.08,-6.24,0
A10,47_methylmalonate semialdehyde,-0.39,-6.23,0
A10,48_alpha-aminoadipate semialdehyde,-0.14,-6.33,0
A10,49_2-Aminomuconic semialdehyde,-0.24,-6.38,0
A10,4_malonaldehyde,-0.31,-5.96,0
A10,50_10-formyltetrahydrofolate,-0.59,-7.87,0
A10,51_6R-Tetrahydrofolic acid,-0.37,-7.91,0
A10,52_Triose phosphate,-0.32,-6.06,0
A10,53_Pyridoxal phosphate,-0.74,-6.68,0
A10,55_Ethanol,-0.15,-5.72,0
A10,56_S-hydroxy-methylglutathione,-0.79,-6.88,0
A10,57_S-3-oxopropylglutathione,-0.86,-7.5,0
A10,58_S-(4-oxobutan-2-yl)glutathione,-1.38,-8.03,0
A10,59_4-Hydroxynonenal_glutathione,-1.13,-8.71,0
A10,5_butyraldehyde,0.28,-6.2,0
A10,60_S-Formylglutathione,-0.97,-7.71,0
A10,6_amylaldehyde,0.01,-6.4,0
A10,7_glutaraldehyde,-0.08,-6.46,0
A10,8_hexanal,-0.24,-6.62,0
A10,9_2-hydroxypropionaldehyde,-0.12,-6.0,0
A11,10_4-guanidinobutyraldehyde,-0.15,-6.09,0
A11,11_prop-2-enal,0.0,-5.86,0
A11,12_prop-2-ynal,-0.13,-5.82,0
A11,13_(2E)-but-2-enal,-0.15,-6.04,0
A11,14_trans-2-Hexenal,-0.28,-6.4,0
A11,15_heptanal,-0.43,-6.63,0
A11,16_octanaldehyde,-0.4,-6.69,0
A11,17_nonanal,-0.58,-6.82,0
A11,18_decanal,-0.59,-6.95,0
A11,19_dodecanal,-1.18,-7.35,0
A11,1_formaldehyde,0.29,-5.23,0
A11,20_Citral,-0.28,-7.17,0
A11,21_cis-2-Octenal,-0.43,-6.69,0
A11,22_trans-2-Octenal,-0.39,-6.71,0
A11,23_4-Hydroxynonenal,-0.16,-7.07,0
A11,24_Tetradecanal,-0.86,-7.12,0
